unit,power source,operation mode,cooling capacity (kW),applicable area (ping),power consumption (W),operating current (A),dimensions width×height×depth (mm),noise level in high mode (dB),weight (kg),maximum refrigerant volume (kg),minimum indoor installation area (m2)
RAS-22NJP,single-phase220V60Hz,cooling,2.2,3,340,2.1,840x315x270,30,12,1.02,0.99
RAC-22JP,single-phase220V60Hz,cooling,2.2,3,340,2.1,730x600x290,43,40,1.02,0.99
RAS-22NJP,single-phase220V60Hz,cooling,2.2,3,382,2,840x315x270,32,12,1.13,/
RAC-22JK1,single-phase220V60Hz,cooling,2.2,3,382,2,730×600×290,43,40,1.13,/
RAS-28NJP,single-phase220V60Hz,cooling,2.8,3~5,476,2.6,840x315x270,33,12,1.02,0.99
RAC-28JP,single-phase220V60Hz,cooling,2.8,3~5,476,2.6,730x600x290,44,40,1.02,0.99
RAS-28NJP,single-phase220V60Hz,cooling,2.8,3~5,550,2.8,840x315x270,36,12,1.13,/
RAC-28JK1,single-phase220V60Hz,cooling,2.8,3~5,550,2.8,730×600×290,40,40,1.13,/
RAS-36NJP,single-phase220V60Hz,cooling,3.6,4~6,622,3.3,940x315x270,35,14,1.25,1.49
RAC-36JP,single-phase220V60Hz,cooling,3.6,4~6,622,3.3,810x685x300,46,48,1.25,1.49
RAS-36NJP,single-phase220V60Hz,cooling,3.6,4~6,729,3.6,940x315x270,37,14,1.28,/
RAC-36JK1,single-phase220V60Hz,cooling,3.6,4~6,729,3.6,810×685×300,46,48,1.28,/
RAS-40NJP,single-phase220V60Hz,cooling,4.1,5~7,772,4.1,940x315x270,38,14,1.35,1.74
RAC-40JP,single-phase220V60Hz,cooling,4.1,5~7,772,4.1,810x685x300,49,48,1.35,1.74
RAS-50NJP,single-phase220V60Hz,cooling,5,6~8,1025,5.2,1110x315x280,40,16,1.5,2.15
RAC-50JP,single-phase220V60Hz,cooling,5,6~8,1025,5.2,810x685x300,49,49,1.5,2.15
RAS-63NJP,single-phase220V60Hz,cooling,6.3,8~10,1360,6.9,1110x315x280,41,16,1.84,3.23
RAC-63JP,single-phase220V60Hz,cooling,6.3,8~10,1360,6.9,880x790x315,50,55,1.84,3.23
RAS-71NJP,single-phase220V60Hz,cooling,7.2,10~12,1615,7.8,1110x315x280,42,16,1.84,3.23
RAC-71JP,single-phase220V60Hz,cooling,7.2,10~12,1615,7.8,880x790x315,52,55,1.84,3.23
